Part Number,Condition,Low Price,Avg. Price,High Price,Total Quantity,Hits Day,HIts Week,Hits Month,Normalized_Quantity,Normalized_Searches,Market Attractiveness,Market Attractiveness Category
WS-C3850-48P-S,REF,550.0,1434.67,3900.0,61,43,168,787,0.002400096003840154,0.4586247086247086,0.7281123063104342,Moderate Attractiveness
WS-C2960X-48FPD-LC1,REF,1223.0,1223.0,1223.0,1,51,309,784,0.0,0.4568764568764569,0.7284382284382285,Moderate Attractiveness
GLC-SX-MMD-RF,REF,251.65,251.65,251.65,989,35,145,780,0.03952158086323453,0.45454545454545453,0.70751193684111,Moderate Attractiveness
WS-C3560CX-12PC-S,REF,750.0,1190.62,1631.25,2,49,273,766,4.000160006400256e-05,0.44638694638694637,0.7231734723934412,Moderate Attractiveness
CP-8841-K9,REF,59.6,95.14,137.75,644,34,193,765,0.025721028841153647,0.4458041958041958,0.710041583481521,Moderate Attractiveness
WS-C2960X-48LPS-L-STACK,REF,450.0,450.0,450.0,1,50,272,755,0.0,0.43997668997669,0.719988344988345,Moderate Attractiveness
SFP-10G-SRB-REF,REF,25.0,25.0,25.0,2,38,149,754,4.000160006400256e-05,0.4393939393939394,0.7196769688969377,Moderate Attractiveness
WS-C3750X-48P-S,REF,120.0,267.33,350.0,38,33,193,736,0.0014800592023680947,0.4289044289044289,0.7137121848510304,Moderate Attractiveness
WS-C2960S-48FPS-L,REF,198.0,291.2,577.0,46,23,183,725,0.0018000720028801152,0.4224941724941725,0.7103470502456461,Moderate Attractiveness
PWR-C1-715WAC-P,REF,250.0,395.4,500.0,7,40,225,723,0.00024000960038401536,0.42132867132867136,0.7105443308641437,Moderate Attractiveness
ISR4451-X-K9,REF,2061.0,2130.5,2200.0,3,28,206,723,8.000320012800511e-05,0.42132867132867136,0.7106243340642717,Moderate Attractiveness
WS-C2960X-48TD-L,REF,749.0,1035.49,1555.95,16,45,171,703,0.0006000240009600385,0.40967365967365965,0.7045368178363498,Moderate Attractiveness
WS-C2960X-48LPD-L,REF,595.0,991.32,1356.25,18,14,168,695,0.0006800272010880436,0.40501165501165504,0.7021658139052835,Moderate Attractiveness
WS-C2960S-24PS-L,REF,110.0,144.62,187.0,73,43,201,686,0.0028801152046081845,0.3997668997668998,0.6984433922811458,Moderate Attractiveness
C1111-8PLTEEAWE,REF,770.0,770.0,770.0,1,20,153,681,0.0,0.3968531468531469,0.6984265734265734,Moderate Attractiveness
